field_name,dk_column_name,description,dataset,data_source,source_link,year
pop_pct_white,ACS - Population Percentage by Race (White alone),percentage of the population - white alone,B202001 Race,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B02001?q=Race%20and%20Ethnicity&g=010XX00US$1400001,2022
pop_pct_black,ACS - Population Percentage by Race (Black or African American alone),percentage of the population - black or african american alone,B202001 Race,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B02001?q=Race%20and%20Ethnicity&g=010XX00US$1400002,2022
pop_pct_american_indian,ACS - Population Percentage by Race (American Indian and Alaska Native alone),percentage of the population - american indian and alaska native alone,B202001 Race,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B02001?q=Race%20and%20Ethnicity&g=010XX00US$1400003,2022
pop_pct_asian,ACS - Population Percentage by Race (Asian alone),percentage of the population - asian alone,B202001 Race,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B02001?q=Race%20and%20Ethnicity&g=010XX00US$1400004,2022
pop_pct_native_hawaiian,ACS - Population Percentage by Race (Native Hawaiian and Other Pacific Islander alone),percentage of the population - native hawaiian and other pacific islander alone,B202001 Race,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B02001?q=Race%20and%20Ethnicity&g=010XX00US$1400005,2022
pop_pct_other_race,ACS - Population Percentage by Race (Some Other Race Alone),percentage of the population - some other race alone,B202001 Race,US Census American Community Survey (5-year estimates),https://data.census.gov/table/ACSDT5Y2022.B02001?q=Race%20and%20Ethnicity&g=010XX00US$1400006,2022
diesel_pm,EJScreen - Diesel particulate matter - Diesel particulate matter,diesel particulate matter,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
energy_burden,DOE (2018) - Energy burden,energy burden,CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2018
energy_burden_pctile,DOE (2018) - Energy burden (percentile),energy burden (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2018
exp_agri_loss_rate,FEMA (2014-2021) - Expected agricultural loss rate (Natural Hazards Risk Index),expected agricultural loss rate (natural hazards risk index),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
exp_agri_loss_rate_pctile,FEMA (2014-2021) - Expected agricultural loss rate (Natural Hazards Risk Index) (percentile),expected agricultural loss rate (natural hazards risk index) (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
exp_build_loss_rate,FEMA (2014-2021) - Expected building loss rate (Natural Hazards Risk Index),expected building loss rate (natural hazards risk index),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
exp_build_loss_rate_pctile,FEMA (2014-2021) - Expected building loss rate (Natural Hazards Risk Index) (percentile),expected building loss rate (natural hazards risk index) (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
exp_pop_loss_rate,FEMA (2014-2021) - Expected population loss rate (Natural Hazards Risk Index),expected population loss rate (natural hazards risk index),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
exp_pop_loss_rate_pctile,FEMA (2014-2021) - Expected population loss rate (Natural Hazards Risk Index) (percentile),expected population loss rate (natural hazards risk index) (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
ozone,EJScreen - Ozone - Ozone,ozone,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
air_toxics_cancer_pctile,EJScreen - Percentile for Air toxics cancer risk - Percentile for Air toxics cancer risk,percentile for  air toxics cancer risk,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
air_toxics_cancer_ej_pctile,EJScreen - Percentile for Air toxics cancer risk - Percentile for Air toxics cancer risk - EJ Index,percentile for  air toxics cancer risk ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
diesel_pm_ej_pctile,EJScreen - Percentile for Diesel particulate matter - Percentile for Diesel particulate matter - EJ Index,percentile for  diesel particulate matter ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
lead_paint_ej_pctile,EJScreen - Percentile for Lead Paint - Percentile for Lead Paint - EJ Index,percentile for lead paint ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
ozone_ej_pctile,EJScreen - Percentile for Ozone - Percentile for Ozone - EJ Index,percentile for ozone ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
pm2_5_ej_pctile,EJScreen - Percentile for Particulate Matter 2.5 - Percentile for Particulate Matter 2.5 - EJ Index,percentile for particulate matter 2.5 ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
superfund_prox_ej_pctile,EJScreen - Percentile for Superfund proximity - Percentile for Superfund proximity - EJ Index,percentile for superfund proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
rmp_facility_prox_ej_pctile,EJScreen - Percentile for RMP facility proximity - Percentile for RMP facility proximity - EJ Index,percentile for rmp facility proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
traffic_prox_ej_pctile,EJScreen - Percentile for Traffic proximity - Percentile for Traffic proximity - EJ Index,percentile for traffic proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
haz_waste_prox_ej_pctile,EJScreen - Percentile for Hazardous waste proximity - Percentile for Hazardous waste proximity - EJ Index,percentile for hazardous waste proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
wastewater_ej_pctile,EJScreen - Percentile for Wastewater discharge - Percentile for Wastewater discharge - EJ Index,percentile for wastewater discharge ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
air_toxics_resp_ej_pctile,EJScreen - Percentile for Air toxics respiratory HI - Percentile for Air toxics respiratory HI - EJ Index,percentile for air toxics respiratory hi ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
toxic_releases_ej_pctile,EJScreen - Percentile for Toxic Releases to Air - Percentile for Toxic Releases to Air - EJ Index,percentile for toxic releases to air ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
