geoid,geoid_year,state,county,state_fips_code,county_fips_code,total_cdfi_lending,med_mortgage_loan,med_property_value,med_sba_504_loan,med_sba_7a_loan,num_mortgage_loans,num_mortgage_denials,num_mortgages_origin,num_sba_504_loans,num_sba_7a_loans,pop_pct_2plus_races,pop_pct_white,pop_pct_black,pop_pct_american_indian,pop_pct_asian,pop_pct_native_hawaiian,pop_pct_other_race
12009061001,2020, Florida, Brevard County,12,9,1.572633E7,215000.0,315000.0,1710500.0,,379,52,196,2,,16.6,58.8,21.6,0.5,1.1,0.0,1.4
12009061002,2020, Florida, Brevard County,12,9,74979.0,185000.0,245000.0,,379100.0,298,53,137,,2,9.1,83.9,3.4,0.0,0.2,0.0,3.5
12009061100,2020, Florida, Brevard County,12,9,51762.0,205000.0,315000.0,,1050000.0,406,64,193,,1,4.9,79.6,12.5,0.0,0.0,0.0,3.0
12009062108,2020, Florida, Brevard County,12,9,437656.99999999994,205000.0,305000.0,,333000.0,548,101,279,,1,9.2,81.4,7.8,0.0,0.6,0.0,0.9
12009062109,2020, Florida, Brevard County,12,9,1.0946861E7,185000.0,285000.0,,421000.0,244,44,113,,1,4.2,85.6,4.9,0.0,2.8,1.9,0.4
12009062111,2020, Florida, Brevard County,12,9,27935.586905888194,215000.0,315000.0,,,276,47,149,,,7.1,89.6,0.8,0.0,0.6,0.0,2.0
12009062112,2020, Florida, Brevard County,12,9,417672.5,305000.0,365000.0,172000.0,1158000.0,129,12,65,2,3,2.0,92.6,2.3,0.0,0.0,0.0,3.2
12009062301,2020, Florida, Brevard County,12,9,76802.0,145000.0,195000.0,210000.0,,148,39,53,1,,12.5,33.7,46.2,0.0,1.7,0.4,5.5
12009062302,2020, Florida, Brevard County,12,9,44233.43210638585,125000.0,195000.0,156000.0,,136,33,52,1,,5.0,57.8,36.2,0.0,1.1,0.0,0.0
12009063000,2020, Florida, Brevard County,12,9,16194.0,215000.0,355000.0,,,313,47,150,,,6.0,73.8,14.7,0.0,3.0,0.0,2.5
12009063102,2020, Florida, Brevard County,12,9,3345771.0,235000.0,435000.0,807000.0,125000.0,507,76,274,4,5,8.3,80.6,5.9,0.3,3.0,0.0,1.9
12009063105,2020, Florida, Brevard County,12,9,2.0044137E7,245000.0,345000.0,437000.0,567350.0,598,74,310,7,8,4.3,77.7,10.6,0.3,1.0,0.0,6.2
12009063106,2020, Florida, Brevard County,12,9,42563.0,235000.0,405000.0,,,262,43,140,,,9.7,80.5,5.0,0.0,4.7,0.0,0.3
12009064102,2020, Florida, Brevard County,12,9,28168.893948472392,315000.0,525000.0,,534000.0,370,40,203,,10,5.4,87.2,2.3,0.0,2.0,2.5,0.5
12009064124,2020, Florida, Brevard County,12,9,98512.0,195000.0,275000.0,,,277,43,158,,,7.0,90.4,1.7,0.0,0.6,0.0,0.4
12009064127,2020, Florida, Brevard County,12,9,1015350.514760951,305000.0,535000.0,327500.0,350000.0,516,73,277,8,9,11.6,81.1,2.1,0.0,4.3,0.1,0.9
12009064202,2020, Florida, Brevard County,12,9,277128.07058271614,195000.0,315000.0,410000.0,184100.0,123,21,58,7,6,3.5,78.0,12.9,0.0,3.0,0.0,2.7
12009064400,2020, Florida, Brevard County,12,9,371440.0,175000.0,265000.0,,,379,64,185,,,8.9,78.8,6.3,0.3,0.5,0.0,5.2
12009064500,2020, Florida, Brevard County,12,9,1783.0,155000.0,245000.0,237000.0,369500.0,276,46,135,1,5,8.0,83.2,3.5,0.0,3.5,0.0,1.7
12009064701,2020, Florida, Brevard County,12,9,626679.0000000001,175000.0,245000.0,427500.0,65000.0,152,28,67,6,6,13.7,66.9,4.8,9.7,1.6,0.0,3.4
12009064800,2020, Florida, Brevard County,12,9,2302353.0,205000.0,315000.0,304500.0,1699100.0,139,31,65,6,5,6.0,68.6,23.7,0.0,0.0,0.0,1.7
12009065022,2020, Florida, Brevard County,12,9,2741.0,195000.0,365000.0,315000.0,284700.0,367,74,170,1,2,8.1,74.7,7.0,0.4,7.0,0.0,2.7
12009065231,2020, Florida, Brevard County,12,9,4206597.939967644,285000.0,565000.0,1194000.0,512500.0,429,60,217,1,2,10.5,80.4,8.9,0.0,0.1,0.0,0.0
12009065237,2020, Florida, Brevard County,12,9,33221.0,135000.0,185000.0,,,204,33,103,,,0.0,98.2,1.1,0.0,0.4,0.0,0.4
12009065238,2020, Florida, Brevard County,12,9,44198.53460625292,275000.0,395000.0,,,109,8,40,,,0.0,98.9,0.0,0.0,1.1,0.0,0.0
12009065239,2020, Florida, Brevard County,12,9,324293.4653937471,145000.0,225000.0,180000.0,1290000.0,205,48,83,1,1,3.1,96.3,0.0,0.0,0.1,0.0,0.4
12009065240,2020, Florida, Brevard County,12,9,35260.02537553688,145000.0,185000.0,,,155,27,62,,,0.0,87.6,0.0,0.4,2.6,0.0,9.4
12009066104,2020, Florida, Brevard County,12,9,57608.999999999985,395000.0,785000.0,,161250.0,372,64,188,,2,3.1,95.3,0.0,0.0,0.0,0.0,1.6
12009066301,2020, Florida, Brevard County,12,9,9885789.999999996,255000.0,555000.0,4927000.0,137500.0,447,40,254,1,2,4.1,91.5,0.7,0.0,1.4,0.0,2.3
12009066800,2020, Florida, Brevard County,12,9,16489.0,315000.0,495000.0,,,88,9,41,,,15.0,80.4,2.1,0.0,1.0,0.0,1.4
12009068102,2020, Florida, Brevard County,12,9,2032.28795811516,255000.0,585000.0,,,144,17,79,,,6.3,90.4,0.0,0.0,0.8,0.0,2.5
12009068501,2020, Florida, Brevard County,12,9,1663.0,205000.0,335000.0,,110000.0,126,21,72,,3,1.1,91.5,1.8,0.0,0.8,0.0,4.7
12009069200,2020, Florida, Brevard County,12,9,156978.0,205000.0,355000.0,,913050.0,129,23,66,,4,3.7,89.6,4.1,0.0,2.2,0.0,0.4
