field_name,dk_column_name,description,dataset,data_source,source_link,year
d5_pwdis,EJScreen - Wastewater discharge - Wastewater discharge - Supplemental Index,wastewater discharge supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_resp,EJScreen - Air toxics respiratory HI - Air toxics respiratory HI - Supplemental Index,air toxics respiratory hi supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_rsei_air,EJScreen - Toxic Releases to Air - Toxic Releases to Air - Supplemental Index,toxic releases to air supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
d5_ust,EJScreen - Underground storage tanks - Underground storage tanks - Supplemental Index,underground storage tanks supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
dslpm,EJScreen - Diesel particulate matter - Diesel particulate matter,diesel particulate matter,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
energy_burden,DOE (2018) - Energy burden,energy burden,CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2018
energy_burden_percentile,DOE (2018) - Energy burden (percentile),energy burden (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2018
expected_agricultural_loss_rate_natural_hazards_risk_index,FEMA (2014-2021) - Expected agricultural loss rate (Natural Hazards Risk Index),expected agricultural loss rate (natural hazards risk index),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
expected_agricultural_loss_rate_natural_hazards_risk_index_percentile,FEMA (2014-2021) - Expected agricultural loss rate (Natural Hazards Risk Index) (percentile),expected agricultural loss rate (natural hazards risk index) (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
expected_building_loss_rate_natural_hazards_risk_index,FEMA (2014-2021) - Expected building loss rate (Natural Hazards Risk Index),expected building loss rate (natural hazards risk index),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
expected_building_loss_rate_natural_hazards_risk_index_percentile,FEMA (2014-2021) - Expected building loss rate (Natural Hazards Risk Index) (percentile),expected building loss rate (natural hazards risk index) (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
expected_population_loss_rate_natural_hazards_risk_index,FEMA (2014-2021) - Expected population loss rate (Natural Hazards Risk Index),expected population loss rate (natural hazards risk index),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
expected_population_loss_rate_natural_hazards_risk_index_percentile,FEMA (2014-2021) - Expected population loss rate (Natural Hazards Risk Index) (percentile),expected population loss rate (natural hazards risk index) (percentile),CEJST - Communities Data,Climate and Economic Justice Screening Tool (CEJST),https://screeningtool.geoplatform.gov/en/downloads ,2014-2021
