geoid,geoid_year,state,county,state_fips_code,county_fips_code,gini_index_est,med_hh_inc_est,pop_pct_60plus_est,med_mortgage_loan,housecost_owner_est,housecost_rent_est,housecost_rent_est_annual,Pct_AMI,Cost_Burden_Rent,GEOID,pop_pct_60plus_est_rank,Cost_Burden_Rent_rank,Pct_AMI_rank,Combined_Rank
12097043207,2020,Florida,Osceola County,12,97,0.306,85750,15.8,255000,1545,1849,22188,0.948561946902655,0.258752186588921,12097043207,16,13,5.5,8
12097043208,2020,Florida,Osceola County,12,97,0.3933,63214,16.5,265000,1439,1501,18012,0.699269911504425,0.284936881070649,12097043208,23.5,23,25,23
12097043600,2020,Florida,Osceola County,12,97,0.3899,112153,18.1,305000,1631,1766,21192,1.24063053097345,0.188956158105445,12097043600,30,3,1,2
12097040806,2020,Florida,Osceola County,12,97,0.2614,76103,27.3,375000,1238,2000,24000,0.841847345132744,0.315362075082454,12097040806,50.5,29,14,25
12097040810,2020,Florida,Osceola County,12,97,0.4207,51432,15.6,285000,858,1748,20976,0.568938053097345,0.407839477368175,12097040810,14.5,52,42,46
12097040812,2020,Florida,Osceola County,12,97,0.4135,85616,10.9,395000,2017,1786,21432,0.947079646017699,0.250327041674453,12097040812,3,10,7,4
12097041301,2020,Florida,Osceola County,12,97,0.311,53785,16.7,215000,1317,1556,18672,0.594966814159292,0.347159988844473,12097041301,25,34,38,34
12097041501,2020,Florida,Osceola County,12,97,0.5226,67851,24.2,325000,1229,2279,27348,0.750564159292035,0.403059645399478,12097041501,47,50,21,36
12097041600,2020,Florida,Osceola County,12,97,0.5166,48399,16.5,225000,1267,1467,17604,0.535387168141593,0.363726523275274,12097041600,23.5,40,45,43
12097042100,2020,Florida,Osceola County,12,97,0.3887,51856,17.2,245000,1439,1591,19092,0.573628318584071,0.368173403270596,12097042100,29,42,41,41
12097042201,2020,Florida,Osceola County,12,97,0.4101,39236,23.5,155000,862,1521,18252,0.434026548672566,0.465185034152309,12097042201,45,55,52,54.5
12097042202,2020,Florida,Osceola County,12,97,0.3651,30750,18.5,165000,782,1368,16416,0.340154867256637,0.533853658536585,12097042202,31,56,56,54.5
12097042500,2020,Florida,Osceola County,12,97,0.3856,66368,25.6,205000,1325,1512,18144,0.734159292035398,0.273384763741562,12097042500,48,22,24,26
12097042901,2020,Florida,Osceola County,12,97,0.4784,39691,12.8,235000,1612,1239,14868,0.439059734513274,0.374593736615354,12097042901,6,45,51,45
12097040901,2020,Florida,Osceola County,12,97,0.4885,84808,17,275000,1541,1857,22284,0.938141592920354,0.262758230355627,12097040901,27,16,8,10
12097040904,2020,Florida,Osceola County,12,97,0.4523,50502,12.2,345000,915,1575,18900,0.558650442477876,0.374242604253297,12097040904,4.5,44,43,40
12097041700,2020,Florida,Osceola County,12,97,0.4184,45862,15,175000,717,1554,18648,0.507323008849558,0.406611137761109,12097041700,12.5,51,46,48
12097042903,2020,Florida,Osceola County,12,97,0.4664,57197,23,275000,1400,1826,21912,0.63271017699115,0.38309701557774,12097042903,43.5,48,34,44
12097043304,2020,Florida,Osceola County,12,97,0.3167,80346,16.1,295000,1635,2101,25212,0.888783185840708,0.313792845941304,12097043304,19,28,10,15.5
12097043500,2020,Florida,Osceola County,12,97,0.4187,56025,29.2,215000,1139,1197,14364,0.619745575221239,0.256385542168675,12097043500,54,11,35,30
12097043700,2020,Florida,Osceola County,12,97,0.3523,95979,16.4,355000,1621,1029,12348,1.06171460176991,0.128653142875004,12097043700,21.5,2,3,1
12097043802,2020,Florida,Osceola County,12,97,0.4668,61973,20.7,265000,883,1372,16464,0.68554203539823,0.2656640795185,12097043802,39,18,28,24
