Census Tract,County,Housing Units Count,Occupied,Owner occupied,Renter occupied,Vacant,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",For migrant workers,Other Vacant,$100 or less (contract),$100 to $149 (contract),$150 to $199 (contract),$200 to $249 (contract),$250 to $299 (contract),$300 to $349 (contract),$350 to $399 (contract),$400 to $449 (contract),$450 to $499 (contract),$500 to $549 (contract),$550 to $599 (contract),$600 to $649 (contract),$650 to $699 (contract),$700 to $749 (contract),$750 to $799 (contract),$800 to $899 (contract),$900 to $999 (contract),"$1,000 to $1,249 (contract)","$1,250 to $1,499 (contract)","$1,500 to $1,999 (contract)","$2,000 to $2,499 (contract)","$2,500 to $2,999 (contract)","$3,000 to $3,499 (contract)","$3,500 or more (contract)",No cash rent (contract),$100 or less (gross),$100 to $149 (gross),$150 to $199 (gross),$200 to $249 (gross),$250 to $299 (gross),$300 to $349 (gross),$350 to $399 (gross),$400 to $449 (gross),$450 to $499 (gross),$500 to $549 (gross),$550 to $599 (gross),$600 to $649 (gross),$650 to $699 (gross),$700 to $749 (gross),$750 to $799 (gross),$800 to $899 (gross),$900 to $999 (gross),"$1,000 to $1,249 (gross)","$1,250 to $1,499 (gross)","$1,500 to $1,999 (gross)","$2,000 to $2,499 (gross)","$2,500 to $2,999 (gross)","$3,000 to $3,499 (gross)","$3,500 or more (gross)",No cash gross rent (gross),10.0 percent or less,10.0 to 14.9 percent,15.0 to 19.9 percent,20.0 to 24.9 percent,25.0 to 29.9 percent,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Not computed
12001000201,Alachua County,2232,1960,151,1809,272,47,0,15,0,0,0,210,0,0,0,0,0,0,0,0,17,67,86,34,31,313,222,488,105,129,31,0,178,0,68,0,40,0,0,0,0,0,0,0,0,0,67,0,0,36,249,177,384,64,384,131,31,169,9,47,21,40,0,68,0,104,102,169,29,129,1047,161
12001000202,Alachua County,1935,1690,301,1389,245,163,42,40,0,0,0,0,0,0,0,0,18,15,12,0,0,0,0,0,81,29,25,389,126,232,151,42,57,181,31,0,0,0,0,0,0,0,0,0,18,0,0,0,15,12,37,25,175,195,399,71,173,42,187,40,0,0,0,13,32,24,78,12,0,115,1017,98
12001000301,Alachua County,2113,1816,468,1348,297,92,107,34,31,0,0,33,0,0,13,16,31,14,13,0,0,71,106,118,77,214,103,173,60,44,178,56,14,0,0,0,47,0,0,0,16,31,0,40,0,0,42,23,14,61,185,113,194,126,175,74,179,14,14,0,0,47,8,156,249,259,96,85,56,77,287,75
12001000302,Alachua County,1393,1237,670,567,156,47,0,0,24,0,0,85,0,0,0,0,43,0,0,19,33,0,23,0,45,13,101,136,27,69,8,25,0,0,0,0,25,0,0,0,0,0,43,0,10,33,0,9,0,23,0,0,73,138,157,30,16,10,0,0,0,25,0,0,47,87,74,36,81,31,168,43
12001000400,Alachua County,2401,2242,1321,921,159,0,0,0,30,43,0,86,82,92,0,59,0,18,0,51,0,0,0,0,0,35,47,49,48,286,77,53,0,0,0,0,24,0,12,21,0,16,92,0,18,0,49,51,0,0,0,43,0,49,35,334,177,0,0,0,0,24,55,39,20,379,35,53,48,12,164,116
12001000500,Alachua County,2842,2451,1082,1369,391,103,51,0,47,136,0,54,0,0,0,68,0,0,0,0,40,17,22,11,49,81,85,299,40,313,118,189,19,0,0,0,18,0,0,0,68,0,0,0,0,0,0,0,17,0,20,57,121,234,268,295,208,63,0,0,0,18,0,67,72,291,175,150,168,161,204,81
12001000600,Alachua County,2168,1912,754,1158,256,0,18,0,0,34,0,204,17,28,35,48,258,0,0,0,27,28,36,88,15,36,121,81,96,68,35,57,0,0,0,0,84,17,0,0,0,232,58,51,0,0,27,29,0,14,22,6,101,90,226,92,52,57,0,0,0,84,31,180,93,79,62,9,56,27,514,107
12001000700,Alachua County,2910,2512,1644,868,398,0,32,53,0,33,0,280,0,0,138,0,0,61,68,10,0,0,28,75,28,43,0,171,22,117,0,0,0,0,0,0,107,0,0,0,87,51,0,0,61,68,0,10,0,0,0,0,0,131,240,113,0,0,0,0,0,107,0,0,0,183,194,63,51,111,42,224
12001000806,Alachua County,1623,1397,133,1264,226,154,0,0,0,0,0,72,0,0,0,0,0,0,0,9,0,0,10,34,51,100,280,180,197,105,55,132,89,14,0,0,8,0,0,0,0,0,0,0,0,9,0,0,0,0,41,109,260,296,166,130,123,96,26,0,0,8,20,42,17,56,133,85,73,164,540,134
12001000808,Alachua County,1534,1302,154,1148,232,213,0,0,19,0,0,0,0,0,0,0,0,0,11,33,0,0,72,12,0,27,25,121,231,342,148,49,48,0,0,0,29,0,0,0,0,0,0,0,0,0,33,35,37,12,0,27,43,61,427,161,209,74,0,0,0,29,52,56,125,154,114,91,28,67,432,29
12001000809,Alachua County,994,729,90,639,265,95,13,39,0,0,0,118,0,0,0,0,4,0,16,0,0,24,0,8,0,46,45,105,67,150,66,12,22,0,0,0,74,0,0,0,0,0,0,20,0,0,24,0,0,0,0,8,86,110,124,117,54,22,0,0,0,74,6,25,27,54,88,45,13,62,220,99
12001000901,Alachua County,605,350,8,342,255,216,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,35,66,93,76,48,0,18,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,36,81,99,86,16,3,15,0,0,0,0,0,6,0,19,19,27,66,41,53,22,78,17
12001000902,Alachua County,82,66,0,66,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7,9,7,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,6,39,12
12001001000,Alachua County,3424,2955,1146,1809,469,364,48,17,0,40,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,55,29,278,230,125,256,387,184,14,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,157,220,341,234,429,224,66,0,42,0,17,8,89,31,25,131,83,167,1124,134
12001001100,Alachua County,3126,2871,2017,854,255,109,0,80,53,13,0,0,0,0,0,0,0,0,26,0,0,0,0,27,0,0,81,0,211,116,0,182,116,0,64,0,31,0,0,0,0,0,0,0,0,26,0,0,0,0,27,0,0,81,222,94,98,211,0,64,0,31,48,36,11,142,70,12,118,31,355,31
12001001201,Alachua County,1475,1358,926,432,117,49,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,13,116,7,0,21,0,17,78,115,18,40,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,41,88,0,7,21,100,102,66,0,0,0,0,7,0,28,53,12,41,96,11,0,157,34
12001001202,Alachua County,3451,3246,2340,906,205,169,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,13,82,225,74,217,70,173,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,71,244,246,114,59,0,0,0,18,62,77,174,102,276,57,50,29,61,18
12001001203,Alachua County,1846,1761,744,1017,85,69,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,14,0,12,24,56,76,78,171,186,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,12,0,98,32,182,74,555,50,0,0,0,0,9,42,131,116,107,129,144,121,204,14
12001001400,Alachua County,1035,950,694,256,85,8,0,15,0,0,0,62,0,0,0,0,0,11,0,0,0,27,5,7,30,50,0,33,6,11,34,17,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,11,0,7,3,32,38,89,0,51,0,0,0,0,25,7,3,49,26,40,9,14,18,65,25
12001001514,Alachua County,1224,970,24,946,254,242,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,44,87,67,245,40,219,210,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,26,62,226,138,194,225,41,0,0,6,7,62,92,43,40,95,82,99,319,107
12001001515,Alachua County,3494,2697,121,2576,797,797,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,83,156,164,260,141,83,420,324,564,83,115,109,0,0,0,29,0,0,0,0,0,0,45,0,0,19,0,149,0,150,115,336,297,845,277,154,160,0,0,0,29,0,145,234,231,81,306,97,360,785,337
12001001516,Alachua County,1488,1244,259,985,244,236,0,0,0,8,0,0,0,0,0,0,47,0,0,10,93,19,10,0,0,33,40,139,57,205,129,52,99,0,0,0,52,0,0,0,0,0,0,32,25,22,7,0,39,42,12,0,26,85,181,211,138,113,0,0,0,52,7,7,72,57,89,75,85,12,495,86
12001001517,Alachua County,2767,2377,210,2167,390,390,0,0,0,0,0,0,0,25,0,0,0,0,13,0,46,38,52,77,17,24,187,34,271,437,347,253,307,0,0,0,39,0,0,0,0,0,0,0,0,38,0,0,22,24,20,41,184,103,275,623,434,350,14,0,0,39,0,20,199,368,240,238,298,82,624,98
12001001519,Alachua County,972,761,10,751,211,171,13,0,0,0,0,27,0,0,0,0,0,0,0,21,55,11,7,0,0,11,4,58,75,205,140,93,41,30,0,0,0,0,0,0,0,0,0,0,0,20,35,37,2,0,0,0,11,64,88,216,204,44,30,0,0,0,7,92,31,75,84,89,20,35,278,40
12001001522,Alachua County,4358,3486,246,3240,872,820,14,0,0,0,0,38,0,0,0,0,0,0,0,0,0,49,37,103,276,151,396,327,236,1155,170,108,193,0,0,0,39,0,0,0,0,0,0,0,0,0,28,21,26,37,127,301,521,168,987,640,147,198,0,0,0,39,0,96,360,288,248,360,131,460,1061,236
12001001605,Alachua County,4957,3886,1045,2841,1071,848,54,123,0,0,0,46,0,0,0,0,20,0,0,59,27,128,149,138,23,107,138,117,185,793,491,272,164,0,0,30,0,0,0,0,0,0,0,20,0,27,21,72,0,91,96,47,225,250,551,693,511,207,0,0,30,0,129,101,108,402,84,99,195,318,1253,152
12001001701,Alachua County,3491,2966,1141,1825,525,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,140,52,103,51,0,130,13,136,145,362,86,33,0,487,48,0,0,0,0,0,0,0,0,0,0,145,16,22,31,15,101,129,84,167,343,179,58,0,487,48,181,16,214,232,172,31,18,116,694,151
12001001702,Alachua County,2455,2315,1943,372,140,0,0,49,39,0,0,52,0,0,0,0,0,33,0,0,23,18,104,0,16,0,0,25,0,61,59,13,20,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,18,0,71,49,23,0,0,60,98,0,20,0,0,0,23,33,96,26,0,33,52,0,109,0
12001001802,Alachua County,1365,1178,981,197,187,39,0,0,68,0,0,80,0,0,0,0,0,0,0,0,0,27,0,34,0,0,52,3,20,13,32,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,34,0,75,27,18,0,0,0,0,16,0,27,20,37,52,0,14,13,0,34
12001001803,Alachua County,3040,2756,2273,483,284,93,0,66,0,0,0,125,0,0,0,0,0,0,0,0,18,0,107,8,0,32,54,65,0,28,33,93,0,0,0,0,45,0,0,0,0,0,0,0,0,18,0,0,0,54,17,0,8,68,132,15,71,55,0,0,0,45,18,37,109,22,33,0,13,21,177,53
12001001811,Alachua County,3218,3048,1137,1911,170,124,0,32,0,0,0,14,0,0,0,0,0,0,0,0,0,45,241,46,0,58,0,0,54,200,687,504,34,0,0,14,28,0,0,0,0,0,0,0,0,0,0,0,0,135,106,45,88,16,84,358,914,123,0,0,14,28,0,247,318,246,310,209,218,45,256,62
12001001813,Alachua County,1685,1647,1453,194,38,0,0,30,0,8,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,9,0,18,83,0,20,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,9,60,41,20,14,0,11,0,4,79,58,35,0,7,0,0,11
12001001815,Alachua County,814,715,677,38,99,0,0,0,0,0,0,99,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,8,0,0,0,0,14,0,16,8,0,0,0,0,0,0,14
12001001816,Alachua County,2255,1831,1457,374,424,0,0,100,0,0,0,324,0,0,0,0,0,0,0,66,0,0,10,41,21,18,0,13,14,31,28,11,92,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,97,49,23,33,0,92,0,0,29,0,27,0,17,18,17,20,24,222,29
12001001817,Alachua County,2025,1860,1547,313,165,29,0,69,0,8,0,59,0,0,0,0,0,0,0,0,0,48,0,0,0,0,23,0,36,100,0,0,0,42,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,87,72,0,0,42,0,0,64,0,0,74,101,0,0,0,0,74,64
12001001818,Alachua County,1907,1730,1472,258,177,0,0,46,0,87,0,44,0,0,0,0,0,0,37,0,0,64,0,0,0,0,0,34,10,44,30,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,19,69,30,0,0,0,0,39,0,22,0,0,64,17,38,0,24,93
12001001819,Alachua County,2123,2004,1252,752,119,119,0,0,0,0,0,0,0,14,30,0,0,0,0,38,0,63,59,0,31,0,0,98,20,284,55,14,34,0,0,0,12,0,0,14,6,24,0,0,0,0,0,0,63,0,27,38,63,0,358,83,30,0,34,0,0,12,14,44,41,72,282,0,38,88,75,98
12001001902,Alachua County,1528,1330,487,843,198,86,0,32,0,0,0,80,0,24,20,0,0,30,0,55,0,0,34,75,65,0,0,99,188,85,21,147,0,0,0,0,0,0,0,0,20,0,0,24,0,0,47,30,19,0,0,130,20,28,264,61,146,22,0,32,0,0,0,20,76,66,62,16,108,104,391,0
12001001907,Alachua County,1454,1243,986,257,211,11,0,6,0,110,0,84,0,49,0,0,0,0,0,2,43,12,45,11,0,0,0,25,7,0,32,0,0,0,0,0,31,0,0,0,0,49,0,0,0,35,14,8,0,42,0,0,14,22,7,11,24,0,0,0,0,31,49,8,0,0,3,35,22,11,98,31
12001001908,Alachua County,2391,2158,1633,525,233,10,0,59,0,3,0,161,0,21,0,0,0,0,12,9,0,0,46,41,0,50,0,0,0,41,79,11,0,0,0,0,215,0,0,0,21,0,0,0,0,0,9,0,12,41,0,19,0,50,27,41,90,0,0,0,0,215,17,20,59,10,0,5,9,79,27,299
12001002001,Alachua County,796,608,512,96,188,0,0,0,23,47,0,118,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,14,0,0,0,0,44,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,16,0,14,0,0,0,0,44,0,0,22,0,0,0,0,0,30,44
12001002002,Alachua County,1892,1649,1340,309,243,0,8,15,18,55,0,147,6,7,3,0,3,0,13,34,22,15,0,10,13,10,0,22,32,82,0,0,0,0,0,0,37,0,6,0,3,0,0,7,0,0,5,15,51,3,12,11,0,10,112,37,0,0,0,0,0,37,1,27,9,9,28,42,3,32,117,41
12001002101,Alachua County,1035,833,632,201,202,8,0,0,0,42,0,152,0,0,0,15,0,0,0,0,6,16,0,8,0,17,64,28,7,28,0,7,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,6,0,6,0,25,67,25,27,18,7,0,0,0,0,5,21,11,28,15,9,7,0,9,95,6
12001002102,Alachua County,576,490,364,126,86,0,0,22,0,33,0,31,0,0,0,0,0,20,0,0,0,10,5,0,5,10,0,5,26,22,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,8,0,0,0,5,22,9,1,50,8,0,0,0,0,0,23,0,9,14,2,15,6,31,0,26,23
12001002201,Alachua County,2281,2131,1791,340,150,81,0,0,21,0,0,48,0,0,0,0,0,14,0,0,10,10,118,0,0,0,26,28,0,31,81,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,14,0,10,10,0,0,75,0,128,41,50,0,0,0,0,12,0,28,26,85,55,10,0,10,114,12
12001002202,Alachua County,2711,2414,2124,290,297,130,0,0,16,55,0,96,0,0,0,0,0,0,0,0,0,0,7,60,0,0,28,16,0,0,0,68,32,15,0,45,19,0,0,0,0,0,0,0,0,0,0,7,0,0,0,60,0,0,44,0,36,64,15,0,45,19,97,19,72,13,0,0,0,19,51,19
12001002204,Alachua County,4888,4521,3398,1123,367,128,0,197,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,24,42,203,461,48,20,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,251,502,74,20,0,0,252,0,129,96,194,68,142,0,0,242,252
12001002207,Alachua County,1520,1441,1392,49,79,0,0,30,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,13,0,0,0,0,9,0,0,9,0,6,25,0
12001002208,Alachua County,1203,1097,992,105,106,0,0,75,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,77,0,0,0,0,0,0,20,0,8,0,0,77,0,0
12001002209,Alachua County,3550,3504,2893,611,46,11,0,20,3,0,0,12,0,18,4,30,4,0,12,3,0,3,0,6,13,3,0,43,54,46,0,92,156,0,0,0,124,0,0,0,18,0,0,0,16,17,7,0,0,3,0,3,6,27,96,44,45,69,136,0,0,124,0,130,32,51,63,6,6,12,174,137
12001002210,Alachua County,2290,2131,1873,258,159,46,0,0,0,38,0,75,0,0,0,0,0,0,0,0,7,0,25,0,0,0,10,27,3,48,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,7,0,25,0,0,0,36,52,0,0,0,0,0,138,0,40,0,52,3,15,0,10,0,138
12001002217,Alachua County,3155,2375,285,2090,780,608,139,33,0,0,0,0,0,0,0,0,86,0,0,0,0,62,0,26,0,85,65,419,474,698,0,110,0,0,0,0,65,0,0,0,0,0,0,61,25,0,0,0,0,0,0,0,63,290,1017,316,234,19,0,0,0,65,0,103,107,285,456,47,89,339,565,99
12001002218,Alachua County,1224,1014,327,687,210,151,9,41,0,9,0,0,0,4,0,2,5,0,0,0,17,10,0,7,11,5,41,129,203,127,72,0,0,0,0,17,37,0,0,0,4,0,0,2,0,0,0,5,0,0,17,7,15,57,271,125,125,5,0,0,17,37,0,49,84,9,45,70,33,104,250,43
12001002219,Alachua County,3129,2613,909,1704,516,492,0,24,0,0,0,0,0,0,0,0,0,0,0,31,71,0,56,33,0,97,11,126,158,472,262,259,63,50,0,0,15,0,0,0,0,0,0,0,0,0,0,65,0,56,37,43,87,16,311,335,435,234,0,70,0,15,0,111,353,126,81,149,150,187,532,15
12001002220,Alachua County,1097,902,698,204,195,77,0,31,38,0,0,49,0,0,0,0,0,0,0,22,0,25,0,0,0,0,0,8,31,26,44,0,35,0,0,0,13,0,0,0,0,0,0,0,0,0,0,22,25,0,0,0,0,0,47,53,9,35,0,0,0,13,0,0,14,25,0,0,57,19,33,56
12001002221,Alachua County,2226,2190,1781,409,36,0,12,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,42,261,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,197,162,0,0,0,0,0,11,73,42,12,82,77,38,74,0
12001002222,Alachua County,2979,2794,2494,300,185,169,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,158,20,0,58,26,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,158,20,58,0,26,18,27,132,45,31,0,0,0,28,19,18
12001110800,Alachua County,999,883,424,459,116,91,0,0,0,7,0,18,0,0,0,0,0,0,0,0,7,0,0,0,11,26,41,21,26,19,0,68,88,14,0,108,30,0,0,0,0,0,0,0,0,0,0,0,0,7,26,0,73,18,15,12,62,58,36,14,108,30,71,20,33,7,9,32,24,35,198,30
12003040101,Baker County,2736,2613,1886,727,123,0,0,17,0,0,0,106,63,20,0,0,0,35,0,0,0,48,74,0,0,62,33,57,70,121,0,53,0,0,0,91,0,0,63,0,0,0,20,35,0,0,0,0,0,0,0,74,105,95,24,167,53,0,0,0,91,0,9,37,183,24,22,48,92,123,189,0
12003040102,Baker County,2875,2510,2077,433,365,0,0,0,0,0,0,365,0,0,39,0,0,51,0,13,0,20,60,0,0,0,28,0,94,0,59,0,0,0,61,0,8,0,0,0,0,0,39,0,64,0,0,0,0,20,60,0,28,0,94,0,59,0,0,0,61,8,51,28,60,61,13,39,0,20,153,8
12003040201,Baker County,2113,1826,1442,384,287,9,0,0,0,87,0,191,0,0,0,0,0,0,0,0,0,0,35,156,25,0,0,0,133,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,14,21,156,0,25,133,0,0,0,0,0,0,35,21,123,33,73,0,0,0,52,47,35
12003040202,Baker County,2166,2055,1781,274,111,0,0,30,0,0,0,81,0,0,0,15,0,0,0,0,3,13,0,81,42,14,0,29,9,48,0,0,0,0,0,0,20,0,0,0,0,0,9,0,6,0,0,3,1,0,28,11,21,49,98,28,0,0,0,0,0,20,5,23,8,67,24,8,11,73,35,20
12005000201,Bay County,2064,1852,1532,320,212,0,0,0,0,90,0,122,0,0,0,0,0,52,0,0,40,0,0,0,0,0,0,14,17,13,0,38,17,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,40,14,17,13,38,17,0,0,0,129,0,0,42,0,13,92,0,30,14,129
12005000203,Bay County,1346,1158,1117,41,188,61,0,0,0,69,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,24,0,0,0,0,0,0,0,0,17,24
12005000204,Bay County,1505,1320,1242,78,185,0,0,40,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,17,16,14,0,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,33,15,0,0,0,0,8,0,0,0,0,16,0,0,0,40,22
12005000301,Bay County,1151,1104,1095,9,47,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
12005000302,Bay County,2696,2371,1694,677,325,57,0,30,0,30,0,208,0,0,0,0,0,35,106,0,67,113,23,0,50,24,25,62,29,50,44,0,0,0,0,0,49,0,0,0,0,0,0,0,0,24,106,32,0,67,0,0,165,25,86,50,73,0,0,0,0,49,95,0,0,49,83,27,83,172,119,49
12005000401,Bay County,812,733,480,253,79,0,0,0,0,0,0,79,0,0,0,0,0,0,0,27,0,0,0,0,0,46,0,21,0,11,101,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,55,23,0,101,0,0,0,0,47,27,0,0,12,50,0,0,117,0,47
12005000402,Bay County,2673,2366,2107,259,307,0,0,14,0,0,0,293,0,0,0,0,0,0,0,26,19,0,0,0,0,0,0,61,0,33,44,24,0,0,36,0,16,0,0,0,0,0,0,0,0,0,0,19,0,26,0,0,0,0,61,33,44,24,0,36,0,16,0,0,70,36,24,0,0,0,113,16
12005000500,Bay County,3176,2632,2163,469,544,120,0,184,51,42,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,222,32,106,67,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,26,175,159,0,67,0,0,25,0,0,47,33,179,71,89,17,8,25
12005000600,Bay County,1375,582,454,128,793,31,18,21,38,509,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,26,42,7,13,7,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,32,34,23,11,0,0,0,19,12,7,7,0,27,35,0,14,7,19
12005000700,Bay County,225,133,0,133,92,68,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,65,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,65,20,9,0,0,0,0,9,16,33,9,42,7,10,7,0
12005000803,Bay County,2444,1957,1062,895,487,56,77,0,0,0,0,354,0,0,0,0,0,0,0,0,16,0,43,0,62,0,118,155,0,421,51,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,102,64,329,288,64,0,1,0,0,28,0,20,26,178,43,268,155,0,177,28
12005000804,Bay County,1121,1011,784,227,110,16,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,26,0,18,37,64,46,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,27,23,88,32,22,0,0,23,1,6,10,52,19,3,21,45,47,23
12005000805,Bay County,2113,1899,1143,756,214,29,38,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,134,212,267,86,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,496,105,102,30,0,0,0,0,0,0,222,133,70,96,30,67,138,0
12005000806,Bay County,1572,1247,899,348,325,58,0,47,0,32,0,188,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,21,84,158,32,23,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,127,136,55,0,0,0,14,6,81,10,33,84,57,21,0,0,56,6
12005000900,Bay County,1988,1645,1025,620,343,62,41,42,0,80,0,118,0,44,0,0,0,0,0,12,10,39,0,0,33,106,24,59,53,35,138,67,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,12,0,10,53,26,190,56,186,43,0,0,0,0,25,51,17,121,77,11,24,114,180,0
12005001000,Bay County,848,723,506,217,125,0,0,0,19,5,0,101,0,0,13,0,0,0,0,0,11,0,0,0,14,56,0,20,0,32,46,12,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,25,29,47,15,63,12,0,0,0,13,11,0,0,83,43,21,12,17,17,13
12005001100,Bay County,2125,1930,1428,502,195,0,32,38,32,0,0,93,0,0,0,0,0,0,0,0,17,0,11,0,22,80,89,95,0,148,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,104,162,137,51,0,0,0,0,0,0,51,52,0,162,49,137,0,51,0
12005001200,Bay County,1195,1104,752,352,91,39,0,0,0,0,0,52,0,0,0,0,0,0,0,0,31,34,0,24,0,0,34,92,18,0,41,71,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,31,34,0,0,0,34,24,110,10,49,53,0,0,0,7,0,0,79,25,10,0,18,60,153,7
12005001301,Bay County,2148,1803,1443,360,345,35,29,40,0,57,0,184,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,97,0,122,0,85,0,30,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,97,122,77,8,7,23,0,9,0,23,43,118,10,89,0,8,60,9
12005001302,Bay County,3250,2818,1881,937,432,0,0,0,35,0,0,397,0,0,0,42,58,0,0,27,0,0,48,34,0,23,25,96,23,311,162,35,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,48,0,59,23,213,261,131,22,0,0,53,0,42,26,127,74,136,45,46,98,343,0
12005001402,Bay County,2888,2593,2143,450,295,0,0,46,0,0,0,249,0,0,0,0,0,0,0,12,0,0,0,0,0,67,0,32,0,40,17,135,122,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,12,0,67,0,0,0,72,0,152,8,114,0,0,25,0,0,32,17,67,162,80,0,67,25
