Census Tract,County,Housing Units Count,Occupied,Owner occupied,Renter occupied,Vacant,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",For migrant workers,Other Vacant,$100 or less (contract),$100 to $149 (contract),$150 to $199 (contract),$200 to $249 (contract),$250 to $299 (contract),$300 to $349 (contract),$350 to $399 (contract),$400 to $449 (contract),$450 to $499 (contract),$500 to $549 (contract),$550 to $599 (contract),$600 to $649 (contract),$650 to $699 (contract),$700 to $749 (contract),$750 to $799 (contract),$800 to $899 (contract),$900 to $999 (contract),"$1,000 to $1,249 (contract)","$1,250 to $1,499 (contract)","$1,500 to $1,999 (contract)","$2,000 to $2,499 (contract)","$2,500 to $2,999 (contract)","$3,000 to $3,499 (contract)","$3,500 or more (contract)",No cash rent (contract),$100 or less (gross),$100 to $149 (gross),$150 to $199 (gross),$200 to $249 (gross),$250 to $299 (gross),$300 to $349 (gross),$350 to $399 (gross),$400 to $449 (gross),$450 to $499 (gross),$500 to $549 (gross),$550 to $599 (gross),$600 to $649 (gross),$650 to $699 (gross),$700 to $749 (gross),$750 to $799 (gross),$800 to $899 (gross),$900 to $999 (gross),"$1,000 to $1,249 (gross)","$1,250 to $1,499 (gross)","$1,500 to $1,999 (gross)","$2,000 to $2,499 (gross)","$2,500 to $2,999 (gross)","$3,000 to $3,499 (gross)","$3,500 or more (gross)",No cash gross rent (gross),10.0 percent or less,10.0 to 14.9 percent,15.0 to 19.9 percent,20.0 to 24.9 percent,25.0 to 29.9 percent,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Not computed
12099007909,Palm Beach County,2605,1923,1555,368,682,29,0,26,0,598,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,167,114,55,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,105,89,8,0,23,0,0,18,85,42,0,75,32,93,23
12099007913,Palm Beach County,766,766,745,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,0,9,0,0,0,0,12
12099007914,Palm Beach County,1845,1773,1583,190,72,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,149,0,0,0,0,0,9,86,63,14,0,18,0,0
12099007915,Palm Beach County,418,374,374,0,44,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12099007916,Palm Beach County,1359,1313,1210,103,46,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,53,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,32,0,21,0,0,0,36,29,0,17,0,0,21,0
12099007917,Palm Beach County,1782,1612,1342,270,170,0,0,0,60,0,0,110,0,0,0,0,0,0,0,0,0,0,0,31,0,79,0,0,28,0,58,16,14,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,79,0,28,58,16,0,14,0,0,44,6,0,0,0,16,0,0,25,148,75
12099007918,Palm Beach County,1085,1016,891,125,69,0,0,0,0,18,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,48,46,0,0,0,31,0,0,0,0,0,48,46,0
12099007919,Palm Beach County,1735,1668,1390,278,67,0,0,0,0,0,16,51,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,16,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,16,0,25,0,237,0,0,0,0,0,0,16,25
12099008001,Palm Beach County,1130,952,354,598,178,29,0,16,0,0,15,118,95,0,32,19,6,129,70,0,0,57,63,0,0,0,0,15,30,25,0,18,0,0,0,0,39,0,0,17,21,0,73,0,6,16,29,40,68,0,34,19,35,0,183,0,9,9,0,0,0,39,29,17,9,20,15,0,38,77,322,71
12099008002,Palm Beach County,1356,1221,586,635,135,19,0,0,17,0,0,99,41,0,187,22,0,25,0,21,17,48,71,0,0,24,25,89,0,7,0,0,58,0,0,0,0,0,41,95,36,18,38,25,21,17,22,0,50,8,27,0,131,22,19,0,7,58,0,0,0,0,136,26,0,38,30,82,21,136,139,27
12099008101,Palm Beach County,1969,1774,994,780,195,36,0,0,0,20,0,139,10,0,14,0,46,12,38,15,37,42,160,148,57,30,23,60,24,0,0,0,0,0,0,0,64,0,10,0,0,0,0,26,0,0,26,40,95,29,83,54,196,119,38,0,0,0,0,0,0,64,77,238,87,92,22,5,11,67,103,78
12099008102,Palm Beach County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12099008201,Palm Beach County,1573,1356,302,1054,217,78,0,0,0,15,0,124,22,30,61,59,0,85,0,245,68,62,0,53,36,27,0,0,67,134,27,54,0,0,0,0,24,0,0,0,59,0,52,74,60,18,136,110,0,46,0,128,42,8,88,128,27,54,0,0,0,24,129,83,157,183,77,74,73,27,175,76
12099008202,Palm Beach County,1147,1019,205,814,128,50,0,0,0,0,0,78,0,0,0,0,32,9,19,40,55,69,67,138,127,30,15,0,51,80,46,36,0,0,0,0,0,0,0,0,0,3,0,10,0,35,0,36,71,119,12,156,0,52,81,121,82,36,0,0,0,0,37,54,43,77,29,130,39,67,326,12
